,hidden_layers,neurons,learning_rate,metrics,MAE_avg,MSE_avg,RMSE_avg
13,4,70,0.005,"[[25.908619, 1084.8081, 32.936425207796155, 55, 54], [23.086885, 884.4069, 29.738979830967953, 109, 54], [21.585197, 767.8372, 27.70987584306868, 163, 54]]",23.52690060933431,912.3507486979166,30.128426960610927
14,4,90,0.01,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
15,4,90,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
16,6,30,0.01,"[[29.99923, 1328.3491, 36.44652412910935, 55, 54], [17.358337, 487.15723, 22.071638511050782, 109, 54], [17.243555, 419.7638, 20.488137883792966, 163, 54]]",21.53370730082194,745.0900472005209,26.335433507984362
17,6,30,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
18,6,50,0.01,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
19,6,50,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
20,6,70,0.01,"[[25.592913, 1005.00146, 31.701758071812833, 55, 54], [14.24723, 336.7638, 18.351125141127245, 109, 54], [19.365982, 522.25024, 22.852795105645722, 163, 54]]",19.73537476857503,621.3385009765625,24.301892772861933
21,6,70,0.005,"[[65.07407, 4545.8794, 67.42313693778456, 55, 54], [57.898148, 3627.0786, 60.22523236386266, 109, 54], [52.462963, 3100.2222, 55.67963871981166, 163, 54]]",58.47839482625326,3757.7267252604165,61.10933600715296
22,6,90,0.01,"[[22.481907, 794.20184, 28.181586954281315, 55, 54], [14.549735, 337.77634, 18.37869246355469, 109, 54], [17.647356, 441.07495, 21.001784475893352, 163, 54]]",18.226332664489746,524.3510437011719,22.52068796457645
23,6,90,0.005,"[[27.390434, 1168.322, 34.18072587708422, 55, 54], [17.252756, 498.0095, 22.31612625360407, 109, 54], [16.17775, 375.10242, 19.367560945875127, 163, 54]]",20.27364667256673,680.4779764811198,25.288137692187806
